Tên hãng xe,Năm sản xuất,Tỉnh,Tình trạng,Số Km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Màu ngoại thất,Màu nội thất,Số chỗ ngồi,Số cửa,Dẫn động,Loại động cơ,Dung tích,Giá
Hyundai,2022,Hà Nội,Cũ,19000.0,Nhập khẩu,Crossover,Số tự động,Trắng,Đen,5,5,FWD,Xăng,1.5,650.0
Mercedes Benz,2019,Hà Nội,Cũ,35000.0,Lắp ráp trong nước,SUV,Số tự động,Đen,Nâu,5,5,AWD,Xăng,2.0,1369.0
VinFast,2023,Hà Nội,Mới,0.0,Lắp ráp trong nước,SUV,Số tự động,Ghi,Nhiều màu,5,5,FWD,Điện,0.2,850.0
Hyundai,2018,Đà Nẵng,Cũ,82000.0,Lắp ráp trong nước,Sedan,Số tay,Trắng,Đen,5,4,FWD,Xăng,1.25,230.0
Toyota,2022,TP HCM,Cũ,17000.0,Nhập khẩu,SUV,Số tự động,Trắng,Kem,7,5,AWD,Xăng,3.4,4850.0
Honda,2021,Hà Nội,Cũ,39000.0,Lắp ráp trong nước,Sedan,Số tự động,Xanh,Đen,5,4,FWD,Xăng,1.5,510.0
Ford,2024,Hà Nội,Mới,0.0,Nhập khẩu,SUV,Số tự động,Bạc,Đen,7,5,RFD,Dầu,2.0,1244.0
Mazda,2021,Hà Nội,Cũ,49000.0,Lắp ráp trong nước,SUV,Số tự động,Xanh,Đen,5,5,FWD,Xăng,2.0,775.0
Kia,2022,Hà Nội,Cũ,19000.0,Lắp ráp trong nước,Crossover,Số tự động,Xanh,Nâu,5,5,AWD,Xăng,1.6,980.0
Honda,2017,Hà Nội,Cũ,90000.0,Nhập khẩu,Sedan,Số tự động,Trắng,Đen,5,4,FWD,Xăng,1.5,525.0
Ford,2024,Hà Nội,Mới,0.0,Lắp ráp trong nước,SUV,Số tự động,Đen,Kem,5,5,FWD,Xăng,1.5,817.0
Toyota,2016,Đăk Lăk,Cũ,109000.0,Lắp ráp trong nước,Crossover,Số tay,Trắng,Kem,8,5,RFD,Xăng,2.0,340.0
Lexus,2015,Hà Nội,Cũ,96540.0,Nhập khẩu,SUV,Số tự động,Trắng,Kem,7,5,AWD,Xăng,4.6,2390.0
Hyundai,2020,Hà Nội,Cũ,51000.0,Lắp ráp trong nước,Crossover,Số tự động,Đỏ,Đen,5,5,FWD,Xăng,2.0,515.0
Ford,2022,Quảng Ninh,Cũ,20000.0,Nhập khẩu,SUV,Số tự động,Đỏ,Vàng,7,5,4WD,Dầu,2.0,1360.0
Hyundai,2020,Tuyên Quang,Cũ,40000.0,Lắp ráp trong nước,Sedan,Số tự động,Đỏ,Nhiều màu,5,4,FWD,Xăng,1.4,450.0
Mazda,2022,Hà Nội,Cũ,20000.0,Nhập khẩu,Crossover,Số tự động,Đỏ,Đen,5,5,FWD,Xăng,1.5,585.0
Hyundai,2016,Hà Nội,Cũ,90000.0,Lắp ráp trong nước,SUV,Số tự động,Đen,Đen,7,5,4WD,Dầu,2.2,699.0
Peugeot,2021,TP HCM,Cũ,27000.0,Lắp ráp trong nước,Crossover,Số tự động,Nâu,Đen,5,5,FWD,Xăng,1.6,795.0
Hyundai,2018,Hà Nội,Cũ,50000.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Đen,7,5,4WD,Xăng,2.4,755.0
